District,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Nizamabad,2020-09,5937.8,23.98183908045977,32.67333333333333,72.76494252873563,96.73747126436783,5.641291810841984,0.05317185697808535
Nizamabad,2020-10,2069.7,22.42269187986652,32.3797552836485,61.76318131256952,96.08020022246941,0.029064587973273943,4.492984409799554
Nizamabad,2020-11,0.2,17.43735632183908,31.780689655172413,40.188620689655174,91.43252873563219,0.05225433526011561,5.906011560693641
Nizamabad,2020-12,0.0,14.817797552836486,30.63392658509455,34.849499443826474,90.82447163515016,0.0022371364653243847,5.10738255033557
Nizamabad,2021-01,20.3,18.089432703003336,31.116573971078974,45.29243604004449,92.36028921023359,,
Nizamabad,2021-02,106.5,16.03448275862069,31.817487684729063,31.745073891625616,87.15049261083743,,
Nizamabad,2021-03,0.0,20.216129032258063,35.83125695216908,24.218576195773082,76.18865406006675,,
Nizamabad,2021-04,152.7,23.619540229885057,38.61954022988506,21.44206896551724,70.69218390804598,0.015287356321839082,7.005057471264368
Nizamabad,2021-05,826.4,26.08283198826119,38.38701393983859,19.67784299339692,47.34402054292003,0.16390315480557593,6.396404988994863
Nizamabad,2021-06,7677.9,24.202068965517242,33.4751724137931,55.327126436781604,91.64655172413794,0.17517241379310344,8.464022988505747
Nizamabad,2021-07,14919.0,24.173414905450503,31.450166852057844,69.18943270300333,94.25072302558398,0.20745272525027808,8.745828698553948
Nizamabad,2021-08,5609.0,23.925917686318133,31.31290322580645,69.06807563959956,95.17208008898776,0.07263626251390433,8.281423804226918
Nizamabad,2021-09,12390.7,23.337471264367814,31.21977011494253,72.4296551724138,96.31735632183909,0.0339080459770115,7.0987356321839075
Nizamabad,2021-10,1700.1,21.072636262513903,32.59799777530589,52.91034482758621,96.02035595105673,0.004449388209121246,6.600556173526139
Nizamabad,2021-11,286.2,19.8183908045977,31.501954022988507,49.404137931034484,93.29896551724138,0.0,0.0
Nizamabad,2021-12,24.1,15.830589543937709,30.20800889877642,41.11501668520579,93.60945494994438,0.010233592880978864,6.184538375973303
Nizamabad,2022-01,586.2,15.96829810901001,28.767296996662957,48.296329254727475,94.39744160177976,0.011790878754171301,6.170300333704116
Nizamabad,2022-02,0.4,11.214285714285714,36.70357142857143,13.310714285714285,100.0,0.0,64.85714285714285
Nizamabad,2022-03,5.0,20.882869855394883,36.57363737486095,28.175862068965515,81.64593993325917,0.006562847608453838,6.166852057842047
Nizamabad,2022-04,18.7,25.028620689655174,40.23126436781609,24.40425287356322,72.41011494252874,0.039999999999999994,6.602528735632184
Nizamabad,2022-05,897.3,27.006562847608457,40.16129032258065,27.416240266963293,67.73047830923248,0.056424581005586595,9.76458100558659
Nizamabad,2022-06,4018.3,25.65448275862069,36.61344827586207,44.951149425287355,84.41632183908045,0.03425287356321839,10.265747126436782
Nizamabad,2022-07,27849.8,23.2698553948832,30.110344827586207,77.07441601779755,98.61646273637375,0.2639599555061179,8.967074527252503
Nizamabad,2022-08,4023.1,23.895216907675195,32.375417130144605,69.35494994438264,98.12369299221356,0.141917502787068,8.621850613154962
Nizamabad,2022-09,8737.9,23.094022988505746,32.55827586206897,70.06402298850574,98.75011494252874,0.0651270207852194,7.359006928406466
Peddapalli,2019-01,890.2,14.670814132104455,29.604915514592932,40.4752688172043,92.41443932411674,0.040552995391705066,5.85852534562212
Peddapalli,2019-02,97.4,19.0328231292517,32.713095238095235,41.01802721088435,89.38214285714285,0.021088435374149662,6.486054421768708
Peddapalli,2019-03,23.9,22.102611367127494,36.47357910906298,35.71290322580645,82.13732718894009,0.10691244239631335,7.508141321044548
Peddapalli,2019-04,201.9,25.13952380952381,40.315555555555555,27.40015873015873,74.17301587301587,0.06444444444444444,8.293650793650794
